"Al Arish, Egypt ",AAC
"Annaba, Algeria ",AAE
"Arapoti, Brazil ",AAG
"Aalborg, Denmark ",AAL
"Al Ain, United Arab Emirates ",AAN
"Anapa, Russia ",AAQ
"Aarhus, Denmark - Tirstrup ",AAR
"Altay, China ",AAT
"Al Ghaydah, Yemen ",AAY
"Abakan, Russia ",ABA
"Abadan, Iran ",ABD
"Allentown, PA ",ABE
"Bethlehem, PA ",ABE
"Easton, PA ",ABE
"Abilene, TX ",ABI
"Abidjan, Cote d'Ivoire ",ABJ
"Kabri Dar, Ethiopia ",ABK
"Ambler, AK ",ABL
"Bamaga, Australia ",ABM
"Albuquerque, NM ",ABQ
"Aberdeen, SD ",ABR
"Abu Simbel, Egypt ",ABS
"Al-Baha, Saudi Arabia ",ABT
"Abuja, Nigeria ",ABV
"Albury, Australia ",ABX
"Aberdeen, United Kingdom ",ABZ
"Acapulco, Mexico ",ACA
"Accra, Ghana ",ACC
"Lanzarote, Spain ",ACE
"Altenrhein, Switzerland ",ACH
"Alderney, United Kingdom ",ACI
"Nantucket, MA ",ACK
"Waco, TX ",ACT
"Arcata, CA ",ACV
"Eureka/Arcata, CA ",ACV
"Adana, Turkey ",ADA
"Izmir, Turkey ",ADB
"Addis Ababa, Ethopia ",ADD
"Aden, Yemen ",ADE
"Amman, Jordan - Civil/Marka Airport ",ADJ
"Adak Island, AK ",ADK
"Adelaide, Australia ",ADL
"Kodiak, AK ",ADQ
"Ardabil, Iran ",ADU
"San Andres Island, Colombia ",ADZ
"Aioun El Atrouss, Mauritania ",AEO
"Buenos Aires, Argentina - Jorge Newbery ",AEP
"Adler/Sochi, Russia ",AER
"Aalesund, Norway ",AES
"Allakaket, AK ",AET
"Alexandria, LA ",AEX
"Akureyri, Iceland ",AEY
"San Rafael, Argentina ",AFA
"Afutara, Soloman Islands ",AFT
"Agadir, Morocco ",AGA
"Augsburg/Munich, Germany ",AGB
"Anggi, Indonesia ",AGD
"Wangerooge, Germany ",AGE
"Agen, France ",AGF
"Argelholm/Helsingborg, Sweden ",AGH
"Aguni, Japan ",AGJ
"Wanigela, Papua New Guinea ",AGL
"Angoon, AK ",AGN
"Malaga, Spain ",AGP
"Agra, India ",AGR
"Augusta, GA ",AGS
"Ciudad del Este, Paraguay ",AGT
"Aguascalientes, Mexico ",AGU
"Acarigua, Venezuela ",AGV
"Abha, Saudi Arabia ",AHB
"Athens, GA ",AHN
"Alghero, Italy ",AHO
"Al Hoceima, Morocco ",AHU
"Alliance, NE ",AIA
"Airok, Marshall Islands ",AIC
"Ailuk Island, Marshall Islands ",AIM
"Wainwright, AK ",AIN
"Aitutaki, Cook Islands ",AIT
"Atiu Island, Cook Islands ",AIU
"Atlantic City, NJ ",AIY
"Ajaccio, France ",AJA
"Jouf, Saudi Arabia ",AJF
"Agri, Turkey ",AJI
"Aizawl, India ",AJL
"Arvidsjaur, Sweden ",AJR
"Araca, Brazil ",AJU
"Ankang, China ",AKA
"Atka, AK ",AKB
"Kufrah, Libya ",AKF
"Akiak, AK ",AKI
"Asahikawa, Japan ",AKJ
"Auckland, New Zealand ",AKL
"King Salmon, AK ",AKN
"Anaktueuk, AK ",AKP
"Auki, Solomon Islands ",AKS
"Aksu, China ",AKU
"Akulivik, QC ",AKV
"Aktyubinsk, Kazakhstan ",AKX
"Almaty, Kazakhstan ",AKX
"Sittwe, Myanmar ",AKY
"Albany, NY ",ALB
"Alicante, Spain ",ALC
"Alta, Norway ",ALF
"Algiers, Algeria ",ALG
"Alexander Bay, South Africa ",ALJ
"Alamogordo, NM ",ALM
"Waterloo, IA ",ALO
"Aleppo, Syrian Arab Republic ",ALP
"Alamosa, CO ",ALS
"Walla Walla, WA ",ALW
"Alexandria, Egypt ",ALY
"Amarillo, TX ",AMA
"Ahmedabad, India ",AMD
"Arba Mintch, Ethiopia ",AMH
"Mataram, Indonesia ",AMI
"Amman, Jordan - Queen Alia International ",AMM
"Mao, Chad ",AMO
"Ambon, Indonesia ",AMQ
"Amsterdam, Netherlands ",AMS
"Amderma, Russia ",AMV
"Ambatomainty, Madagascar ",AMY
"Anchorage, AK ",ANC
"Angers, France - Marce ",ANE
"Antofagasta, Chile ",ANF
"Angouleme, France ",ANG
"Aniak, AK ",ANI
"Ankara, Turkey - Etimesqut ",ANK
"Antalaha, Madagascar ",ANM
"Antwerp, Belgium - Deurne Airport ",ANR
"Antigua, Antigua and Barbuda ",ANU
"V.C. Bird International, Antigua & Barbuda ",ANU
"Anvik, AK ",ANV
"Andenes, Norway ",ANX
"Ancona, Italy ",AOI
"Aomori, Japan ",AOJ
"Karpathos, Greece ",AOK
"Paso de Los Libres, Argentina ",AOL
"Altoona, PA ",AOO
"Martinsburg, PA ",AOO
"Alorsetar, Malaysia ",AOR
"Aosta, Italy ",AOT
"Naples, FL ",APF
"Nampula, Mozambique ",APL
"Alpena, MI ",APN
"Apartado, Colombia ",APO
"Apia, Western Samoa ",APW
"Anging, China ",AQG
"Qaisumah, Saudi Arabia ",AQI
"Aqaba, Jordan ",AQJ
"Arequipa, Peru ",AQP
"Arctic Village, AK ",ARC
"Alor Island, Indonesia ",ARD
"Arkangelsk, Russia ",ARH
"Arica, Chile ",ARI
"Arusha, Tanzania ",ARK
"Armidale, Australia ",ARM
"Stockholm, Sweden - Arlanda ",ARN
"Aragip, Papua New Guinea ",ARP
"Alto Rio Senguerr, Argentina ",ARR
"Watertown, NY ",ART
"Aracatuba, Brazil ",ARU
"Arad, Romania ",ARW
"Ashgabat, Turkmenistan ",ASB
"Aspen, CO ",ASE
"Astrakhan, Russia ",ASF
"Amami O Shima, Japan ",ASJ
"Asmara, Eritrea ",ASM
"Asosa, Ethopia ",ASO
"Alice Springs, Australia ",ASP
"Kayseri, Turkey ",ASR
"Asuncion, Paraguay ",ASU
"Amboseli, Kenya ",ASV
"Aswan, Egypt ",ASW
"Arthur's Town, Bahamas ",ATC
"Atoifi, Solomon Islands ",ATD
"Athens, Greece ",ATH
"Atqasuk, AK ",ATK
"Atlanta, GA ",ATL
"Altamira, Brazil ",ATM
"Namatana, Papua New Guinea ",ATN
"Amritsar, India ",ATQ
"Appleton, WI ",ATW
"Watertown, SD ",ATY
"Assiut, Egypt ",ATZ
"Aruba, Aruba ",AUA
"Arauca, Colombia ",AUC
"Augusta, ME ",AUG
"Abu Dhabi, United Arab Emirates ",AUH
"Alakanuk, AK ",AUK
"Aur Island, Marshall Islands ",AUL
"Agaun, Papua New Guinea ",AUP
"Atuona, French Polynesia ",AUQ
"Aurillac, France ",AUR
"Austin, TX ",AUS
"Aurukun, Australia ",AUU
"Araguaina, Brazil ",AUX
"Aneityum, Vanuatu ",AUY
"Ciego De Avila, Cuba ",AVI
"Asheville, NC ",AVL
"Hendersonville, NC ",AVL
"Avignon, France ",AVN
"Scranton, PA ",AVP
"Wilkes Barre, PA ",AVP
"Aniwa, Vanuatu ",AWD
"Ahwaz, Iran ",AWZ
"Anguilla, Anguilla ",AXA
"Alexandroupolis, Greece ",AXD
"Ataq, Yemen ",AXK
"Armenia, Colombia ",AXM
"Spring Point, Bahamas ",AXP
"Akita, Japan ",AXT
"Ayers Rock, Australia ",AYQ
"Antalya, Turkey ",AYT
"Ayawaki, Indonesia ",AYW
"Amazon Bay, Papua New Guinea ",AZB
"Yazd, Iran ",AZD
"Andizhan, Uzbekistan ",AZN
"Kalamazoo, MI ",AZO
"Adrar, Algeria ",AZR
"Bahrain, Bahrain ",BAH
"Batman, Turkey ",BAL
"Barranquilla, Colombia ",BAQ
"Balalae, Solomon Islands ",BAS
"Bauru, Brazil ",BAU
"Baotou, China ",BAV
"Barnaul, Russia ",BAX
"Baia Mare, Romania ",BAY
"Balmaceda, Chile ",BBA
"Bhubaneswar, India ",BBI
"Kasane, Botswana ",BBK
"Battambang, Cambodia ",BBM
"Bario, Malaysia ",BBN
"Berbera, Somalia ",BBO
"Bucharest, Romania - Baneasa ",BBU
"Baracoa, Cuba ",BCA
"Bacolod, Philippines ",BCD
"Barcaldine, Australia ",BCI
"Barra Colorado, Costa Rica ",BCL
"Barcelona, Spain ",BCN
"Jinka, Ethiopia ",BCO
"Brack, Libya ",BCQ
"Bermuda, Bermuda ",BDA
"Hamilton, Bermuda ",BDA
"Bundaberg, Australia ",BDB
"Badu Island, Australia ",BDD
"Bandar Lengeh, Iran ",BDH
"Banjarmasin, Indonesia ",BDJ
"Hartford, CT ",BDL
"Windsor Locks, CT ",BDL
"Bandung, Indonesia ",BDO
"Bhadrapur, Nepal ",BDP
"Vadodara, India ",BDQ
"Brindisi, Italy ",BDS
"Bardufoss, Norway ",BDU
"Benbecula, United Kingdom ",BEB
"Bedford, MA ",BED
"Belgrade, Serbia and Montenegro - Beograd ",BEG
"Benton Harbor, MI ",BEH
"Beica, Ethiopia ",BEI
"Berau, Indonesia ",BEJ
"Belem, Brazil ",BEL
"Benghazi, Libya ",BEN
"Newcastle, New South Wales, Australia - Belmont ",BEO
"Berlin, Germany - All airports ",BER
"Brest, France ",BES
"Bethel, AK ",BET
"Bedourie, Australia ",BEU
"Beira, Mozambique ",BEW
"Beirut, Lebanon ",BEY
"Bradford, PA ",BFD
"Scottsbluff, NE ",BFF
"Bakersfield, CA ",BFL
"Bloemfontein, South Africa ",BFN
"Bahia Pinas, Panama ",BFQ
"Belfast, Northern Ireland, United Kingdom ",BFS
"Buri Ram, Thailand ",BFV
"Bucaramanga, Colombia ",BGA
"Banqui, Central African Republic ",BGF
"Bridgetown, Barbados ",BGI
"Binghamton, NY ",BGM
"Endicott, NY ",BGM
"Johnson City, NY ",BGM
"Bergen, Norway ",BGO
"Bangor, ME ",BGR
"Milan, Italy - Orio Al Serio ",BGY
"Bar Harbour, ME ",BHB
"Belfast, United Kingdom ",BHD
"Blenheim, New Zealand ",BHE
"Brus Laguna, Honduras ",BHG
"Bisha, Saudi Arabia ",BHH
"Bahia Blanca, Argentina ",BHI
"Bhuj, India ",BHJ
"Bukhara, Uzbekistan ",BHK
"Birmingham, AL ",BHM
"Bhopal, India ",BHO
"Broken Hill, Australia ",BHQ
"Bharatpur, Nepal ",BHR
"Bathurst, Australia ",BHS
"Bhavnagar, India ",BHU
"Bahawalpur, Pakistan ",BHV
"Birmingham, United Kingdom ",BHX
"Beihai, China ",BHY
"Bastia, France ",BIA
"Block Island, RI ",BID
"Bikini Atoll, Marshall Islands ",BII
"Biak, Indonesia ",BIK
"Billings, MT ",BIL
"Bimini, Bahamas ",BIM
"Bilbao, Spain ",BIO
"Biarritz, France ",BIQ
"Biratragar, Nepal ",BIR
"Bismarck, ND ",BIS
"Bejaia, Algeria ",BJA
"Bojnord, Iran ",BJB
"Batsfijord, Norway ",BJF
"Bemidji, MN ",BJI
"Banjul, Gambia ",BJL
"Bujumbura, Burundi ",BJM
"Baharpar, Ethiopia ",BJR
"Bodrum, Turkey ",BJV
"Guanajuato, Mexico ",BJX
"Leon, Mexico ",BJX
"Badajcz, Spain ",BJZ
"Moscow, Russia - Bykovo ",BKA
"Buckland, AK ",BKC
"Kota Kinabalu, Malaysia ",BKI
"Bangkok, Thailand ",BKK
"Bamako, Mali ",BKO
"Blackall, Australia ",BKQ
"Bengkulu, Indonesia ",BKS
"Beckley, WV ",BKW
"Brookings, SD ",BKX
"Bukoba, Malaysia ",BKZ
"Barcelona, Venezuela ",BLA
"Borlange, Sweden ",BLE
"Bluefield, WV ",BLF
"Princeton, WV ",BLF
"Belaga, Mozambique ",BLG
"Bellingham, WA ",BLI
"Batna, Algeria ",BLJ
"Blackpool, United Kingdom ",BLK
"Billund, Denmark ",BLL
"Bangalore, India ",BLR
"Blackwater, Australia ",BLT
"Belleville, IL ",BLV
"Blantyre, Malawi ",BLZ
"Stockholm, Sweden - Bromma ",BMA
"Belo, Madagascar ",BMD
"Broome, Australia ",BME
"Bloomington, IL ",BMI
"Borkum, Germany ",BMK
"Bhamo, Myanmar ",BMO
"Brampton Island, Australia ",BMP
"Bima, Indonesia ",BMU
"Banmethuot, Viet Nam - Phung-Doc ",BMV
"Belep Island, New Caledonia ",BMY
"Nashville, TN ",BNA
"Bandar Abbas, Iran ",BND
"Brisbane, Queensland, Australia ",BNE
"Bonn, Germany ",BNJ
"Ballina, Australia ",BNK
"Bronnoysund, Norway ",BNN
"Bannu, Pakistan ",BNP
"Barinas, Venezuela ",BNS
"Banja Luka, Bosnia Herzegovina ",BNX
"Bellona, Solomon Islands ",BNY
"Boma, Congo ",BOA
"Bora Bora, French Polynesia ",BOB
"Bocas Del Toro, Panama ",BOC
"Bordeaux, France ",BOD
"Bogota, Colombia ",BOG
"Bournemouth, United Kingdom ",BOH
"Boise, ID ",BOI
"Bourgas, Bulgaria ",BOJ
"Bombay, India ",BOM
"Mumbai, India ",BOM
"Bonaire, Netherlands Antilles ",BON
"Bodo, Norway ",BOO
"Boston, MA ",BOS
"Boang, Papua New Guinea ",BOV
"Borroloola, Australia ",BOX
"Batuna, Solomon Islands ",BPF
"Balikpapan, Indonesia ",BPN
"Porto Seguro, Brazil ",BPS
"Beaumont/Port Arthur, TX ",BPT
"Port Arthur/Beaumont, TX ",BPT
"Bangda, China ",BPX
"Besalampy, Madagascar ",BPY
"London, United Kingdom - Biggin Hill ",BQH
"Brunswick, GA ",BQK
"Boulia, Australia ",BQL
"Aguadilla, Puerto Rico ",BQN
"Blagoveschensk, Russia ",BQS
"Barreiras, Brazil ",BRA
"San Carlos, Argentina ",BRC
"Brainerd, MN ",BRD
"Bremen, Germany ",BRE
"Bari, Italy ",BRI
"Bourke, Australia ",BRK
"Burlington, IA ",BRL
"Barquisimeto, Venezuela ",BRM
"Berne, Switzerland - Belp Airport ",BRN
"Brownsville, TX ",BRO
"Brno, Czech Republic - Turany ",BRQ
"Barra, United Kingdom ",BRR
"Bristol, United Kingdom ",BRS
"Bathurst Island, Australia ",BRT
"Brussels, Belgium - National ",BRU
"Barrow, AK ",BRW
"Bossaro, Somalia ",BSA
"Brasilia, DF, Brazil ",BSB
"Bahia Solano, Colombia ",BSC
"Baoshan, China ",BSD
"Biskra, Algeria ",BSK
"Basel, Switzerland ",BSL
"Basco, Philippines ",BSO
"Batam, Indonesia ",BTH
"Barter Island, AK ",BTI
"Banda Aceh, Indonesia ",BTJ
"Bratsk, Russia ",BTK
"Butte, MT ",BTM
"Baton Rouge, LA ",BTR
"Bratislava, Slovakia ",BTS
"Bettles, AK ",BTT
"Bintulu, Malaysia ",BTU
"Burlington, VT ",BTV
"Buka, Papua New Guinea ",BUA
"Burketown, Australia ",BUC
"Budapest, Hungary ",BUD
"Buffalo, NY ",BUF
"Bokondini, Indonesia ",BUI
"Burao, Somalia ",BUO
"Bulawayo, Zimbabwe ",BUQ
"Burbank, CA ",BUR
"Batumi, Georgia ",BUS
"Bashehr, Iran ",BUZ
"Paris, France - Beauvais-Tille ",BVA
"Boavista, Brazil ",BVB
"Boa Vista, Cape Verde ",BVC
"Brive-La-Gaillarde, France - Laroche",BVE
"Berlevag, Norway ",BVG
"Vilhena, Brazil ",BVH
"Birdsville, Australia ",BVI
"Bhairawa, Nepal ",BWA
"Brawnwood, TX ",BWD
"Braunschweig, Denmark ",BWE
"Bowling Green, KY ",BWG
"Baltimore, MD ",BWI
"Bol, Croatia ",BWK
"Bandar Seri Begawan, Brunei ",BWN
"Brewarrina, Australia ",BWQ
"Burnie, Australia ",BWT
"Babo, Indonesia ",BXB
"Bade, Indonesia ",BXD
"Batom, Indonesia ",BXM
"Bam, Iran ",BXR
"Butuan, Philippines ",BXU
"Bunsil, Papua New Guinea ",BXZ
"Boundary, AK ",BYA
"Bayamo, Cuba ",BYM
"Bayreuth, Germany ",BYU
"Belize City, Belize - International ",BZE
"Bydgoszcz, Poland ",BZG
"Balikesir, Turkey ",BZI
"Barisal, Bangladesh ",BZL
"Bozeman, MT ",BZN
"Bolzano, Italy ",BZO
"Beziers, France ",BZR
"Brazzaville, Congo ",BZV
"Cascavel, Brazil ",CAC
"Columbia, SC ",CAE
"Cagliari, Italy ",CAG
"Cairo, Egypt ",CAI
"Akron/Canton, OH ",CAK
"Canton/Akron, OH ",CAK
"Campbeltown, United Kingdom ",CAL
"Guangzhou, China ",CAN
"Cap Haitien, Haiti ",CAP
"Caucasia, Colombia ",CAQ
"Canaima, Venezuela ",CAS
"Casablanca, Morocco - Anfa ",CAS
"Campos, Brazil ",CAW
"Cayenne, French Guiana ",CAY
"Cobar, Australia ",CAZ
"Cochabamba, Bolivia ",CBB
"Cumberland, MD ",CBE
"Cambridge, United Kingdom ",CBG
"Bechar, Algeria ",CBH
"Ciudad Bolivar, Venezuela ",CBL
"Cotabato, Philippines ",CBO
"Calabar, Nigeria ",CBQ
"Canberra, Australia ",CBR
"Carcassonne, France ",CCF
"Kozhikode, India ",CCJ
"Criciuma, Brazil ",CCM
"Concepcion, Chile ",CCP
"Concord, CA ",CCR
"Caracas, Venezuela ",CCS
"Calcutta, India ",CCU
"Kolkata, India ",CCU